0;0.0147;0.0026;0.0072
10;0.0149;0.0040;0.0086
13;0.0146;0.0025;0.0062
24;0.0138;0.0053;0.0088
33;0.0165;0.0015;0.0052
43;0.0123;0.0065;0.0096
53;0.0159;0.0043;0.0058
63;0.0150;0.0024;0.0066
73;0.0172;0.0025;0.0052
84;0.0146;0.0026;0.0080
94;0.0171;0.0030;0.0066
103;0.0130;0.0055;0.0084
113;0.0159;0.0032;0.0059
124;0.0160;0.0032;0.0068
134;0.0147;0.0016;0.0056
144;0.0153;0.0039;0.0063
153;0.0148;0.0025;0.0069
164;0.0145;0.0022;0.0061
174;0.0150;0.0035;0.0070
184;0.0146;0.0049;0.0073
194;0.0146;0.0013;0.0048
204;0.0149;0.0038;0.0085
214;0.0151;0.0024;0.0049
224;0.0141;0.0052;0.0090
234;0.0150;0.0022;0.0061
244;0.0147;0.0048;0.0075
255;0.0150;0.0036;0.0069
264;0.0148;0.0034;0.0077
274;0.0155;0.0037;0.0067
284;0.0156;0.0031;0.0067
295;0.0151;0.0039;0.0071
305;0.0147;0.0022;0.0055
315;0.0157;0.0049;0.0066
324;0.0150;0.0050;0.0083
335;0.0163;0.0025;0.0063
345;0.0129;0.0051;0.0085
355;0.0173;0.0033;0.0061
365;0.0141;0.0043;0.0076
375;0.0168;0.0030;0.0063
385;0.0145;0.0034;0.0064
396;0.0148;0.0032;0.0080
405;0.1461;0.1293;0.1296
415;0.2996;0.2885;0.2839
426;0.2225;0.2220;0.2091
435;0.2224;0.2220;0.2090
445;0.2224;0.2228;0.2097
455;0.2227;0.2224;0.2093
466;0.2225;0.2224;0.2092
476;0.2219;0.2213;0.2083
486;0.2214;0.2219;0.2089
495;0.2309;0.2307;0.2173
506;0.4311;0.4255;0.4094
516;0.2759;0.2710;0.2564
526;0.0152;0.0107;0.0118
536;0.0108;0.0029;0.0041
545;0.0117;0.0041;0.0074
556;0.0153;0.0026;0.0049
566;0.0152;0.0038;0.0064
576;0.0138;0.0047;0.0085
586;0.0145;0.0033;0.0069
597;0.0140;0.0019;0.0065
606;0.0142;0.0047;0.0067
616;0.0157;0.0035;0.0070
626;0.0152;0.0033;0.0059
637;0.0146;0.0036;0.0068
647;0.0149;0.0040;0.0062
657;0.0151;0.0059;0.0080
666;0.0159;0.0035;0.0053
677;0.0141;0.0066;0.0090
687;0.0162;0.0025;0.0057
697;0.0140;0.0018;0.0063
707;0.0149;0.0046;0.0071
716;0.0150;0.0034;0.0061
727;0.0157;0.0041;0.0072
737;0.0141;0.0046;0.0067
747;0.0154;0.0034;0.0073
757;0.0146;0.0051;0.0069
768;0.0158;0.0024;0.0055
778;0.0152;0.0016;0.0066
787;0.0152;0.0035;0.0067
797;0.0153;0.0024;0.0068
808;0.0141;0.0046;0.0071
818;0.0170;0.0030;0.0065
827;0.0141;0.0032;0.0071
837;0.0157;0.0024;0.0066
848;0.0135;0.0038;0.0056
858;0.0152;0.0055;0.0081
868;0.0156;0.0023;0.0055
878;0.0162;0.0038;0.0065
887;0.0140;0.0047;0.0078
898;0.0170;0.0010;0.0041
908;0.0161;0.0046;0.0069
918;0.0156;0.0018;0.0067
928;0.0154;0.0033;0.0056
939;0.0132;0.0051;0.0085
948;0.0149;0.0024;0.0049
958;0.0158;0.0056;0.0061
968;0.0154;0.0060;0.0082
979;0.0163;0.0022;0.0052
989;0.0137;0.0058;0.0088
999;0.0163;0.0022;0.0047
1008;0.0136;0.0042;0.0088
1019;0.0145;0.0031;0.0064
1029;0.0149;0.0037;0.0071
1039;0.0153;0.0026;0.0050
1048;0.0146;0.0026;0.0061
1058;0.0164;0.0026;0.0059
1069;0.0145;0.0039;0.0082
1079;0.0152;0.0040;0.0066
1089;0.0163;0.0035;0.0062
1099;0.0150;0.0030;0.0065
1109;0.0146;0.0033;0.0074
1119;0.0152;0.0015;0.0062
1129;0.0147;0.0044;0.0064
1139;0.0162;0.0031;0.0064
1150;0.0135;0.0054;0.0083
1160;0.0168;0.0021;0.0038
1169;0.0147;0.0045;0.0089
